"analysis_year","Base_btu_per_mi","Base_co2kg_per_mi","Base_dollar_per_mi","Base_Mbtu","Base_Mco2kg","Base_Mdollar"
2052,89843.2506826285,8.4373142876588,5.69267290125585,22512789953.4445,2114.20983642109,1223922.51576861
2053,90036.5249792985,8.45602621886669,5.7454340516834,20194156411.1917,1896.58936881665,1081749.72133066
2054,90124.8961484464,8.46480635171807,5.79568607947425,18009881018.9162,1691.54320013313,947082.440574902
2055,90273.4044702592,8.47932698617974,5.84865880942204,16039183309.9541,1506.55091246928,824139.346679081
2056,90420.9902150507,8.49377363207059,5.90246524111646,14241077221.8687,1337.74786044376,710567.736392862
2057,90562.9002867315,8.5076844607435,5.95772340382736,12609423153.7826,1184.55783863729,606066.89443608
2058,90687.3309505784,8.51993220602144,6.0132779935903,11132012825.6853,1045.83510835805,510046.472156384
2059,90796.832080196,8.53075786853869,6.06854793162965,9799908165.48025,920.744058777153,422092.377157949
2060,90881.9756029103,8.53926211504716,6.12233442131259,8605573082.98713,808.578859760928,341907.773256954
2061,90954.4264266762,8.54655630444665,6.17227513364485,7540665542.47514,708.56059637426,269129.078872941
2062,91027.5387129737,8.55391137652739,6.21338460909652,6597322616.84055,619.954288391308,203295.672203399
2063,91122.97124835,8.56338998672847,6.2343358750709,5767331268.05768,541.99183975715,143844.951745149
2064,91241.3945269665,8.57507126247159,6.19880913209689,5036773620.89015,473.367301716383,90038.5569696891
2065,91324.1062968948,8.5834182498748,6.24800509058976,4393151018.70585,412.905794071789,54074.8383386603
2066,91412.3124799284,8.5923553783441,6.18788972187109,3832176225.67789,360.20771283623,21127.4759682338
2067,91521.0648328376,8.60333129027554,NA,3346345937.27667,314.569359117958,0
2068,91660.4896710373,8.61732328092028,NA,2928502065.16907,275.318723639532,0
2069,91843.1873828236,8.63554101662272,NA,2571382194.06316,241.77379987575,0
2070,92087.9056386437,8.65977599623878,NA,2267644853.8741,213.245119838329,0
2071,92404.3043216653,8.69080194730185,NA,1994885475.08507,187.622802842189,0
2072,92800.0955406496,8.72934653744732,NA,1749079498.98906,164.529152467652,0
2073,93305.163909683,8.77824101708162,NA,1527331732.07929,143.692862167915,0
2074,93891.1755280497,8.83483161150145,NA,1325826759.88898,124.755666374018,0
2075,94558.2705691628,8.89913448649392,NA,1141259823.47099,107.407047442477,0
2076,95302.013411799,8.97073213387094,NA,970696341.644464,91.3711741492218,0
2077,96113.9259172894,9.04881742585484,NA,811825245.097143,76.4307394009223,0
2078,96986.7948058018,9.13269609782857,NA,662750357.298259,62.4074402505177,0
2079,97928.2890511547,9.22307764742473,NA,521449367.669785,49.1111205333802,0
2080,98947.6905683254,9.32082903431924,NA,385913070.893421,36.3528419435204,0
2081,100052.882218088,9.4266937927569,NA,254200736.559759,23.9500597316016,0
2082,101210.351001579,9.53751359836689,NA,125615845.414725,11.8373547958016,0
